taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-07T21:09:53.612GMT,3890,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1732,232834000,1912,406448000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0.0
5,5,0,5,2024-06-07T21:09:53.646GMT,3886,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1736,252011000,1908,374321000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0.0
1,1,0,1,2024-06-07T21:09:53.634GMT,3908,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1736,220958000,1908,339004000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0.0
6,6,0,6,2024-06-07T21:09:53.651GMT,3848,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1731,234059000,1912,411024000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0.0
9,9,0,9,2024-06-07T21:09:53.662GMT,3840,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1738,235051000,1908,383625000,1836,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0.0
2,2,0,2,2024-06-07T21:09:53.639GMT,3894,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,230469000,1915,396813000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0.0
7,7,0,7,2024-06-07T21:09:53.652GMT,3881,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,232491000,1914,354145000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0.0
3,3,0,3,2024-06-07T21:09:53.642GMT,3853,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1737,222523000,1908,353596000,1836,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0.0
8,8,0,8,2024-06-07T21:09:53.653GMT,3889,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1732,268181000,1913,336082000,1836,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0.0
4,4,0,4,2024-06-07T21:09:53.645GMT,3888,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1734,240655000,1910,385097000,1836,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0.0
645,604,0,604,2024-06-07T21:10:04.275GMT,27,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,782000,20,3254000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5593,999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8.0
892,851,0,851,2024-06-07T21:10:05.063GMT,6,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,618000,2,1466000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5901,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
69,28,0,28,2024-06-07T21:10:02.287GMT,107,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,971000,90,9755000,4834,0,2,0,0,0,0,0,0,0,0,10,0,0,0,5943,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8.0
1322,1281,0,1281,2024-06-07T21:10:05.690GMT,34,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],8,1090000,11,2628000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5926,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8.0
1665,1624,0,1624,2024-06-07T21:10:06.378GMT,9,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,1147000,3,1917000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5932,999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.0
1036,995,0,995,2024-06-07T21:10:05.307GMT,50,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],14,2418000,16,2907000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5990,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8.0
1586,1545,0,1545,2024-06-07T21:10:06.256GMT,19,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,650000,9,2303000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5597,999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
1501,1460,0,1460,2024-06-07T21:10:06.164GMT,12,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,650000,6,2389000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5928,999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8.0
809,768,0,768,2024-06-07T21:10:04.774GMT,54,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1799000,46,6998000,4834,7,0,0,0,0,0,0,0,0,0,10,0,0,0,5942,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8.0
