taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-07T17:09:50.078GMT,3696,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1674,224560000,1785,248610000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0.0
5,5,0,5,2024-06-07T17:09:50.102GMT,3669,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1677,224195000,1782,301447000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0.0
1,1,0,1,2024-06-07T17:09:50.090GMT,3681,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1678,211951000,1782,280505000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0.0
6,6,0,6,2024-06-07T17:09:50.103GMT,3620,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1675,209580000,1784,253131000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0.0
9,9,0,9,2024-06-07T17:09:50.111GMT,3660,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1675,218086000,1784,282572000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0.0
2,2,0,2,2024-06-07T17:09:50.092GMT,3682,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1678,221214000,1781,256610000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0.0
7,7,0,7,2024-06-07T17:09:50.107GMT,3664,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1683,223374000,1777,247447000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0.0
3,3,0,3,2024-06-07T17:09:50.093GMT,3633,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1676,210458000,1783,305938000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0.0
8,8,0,8,2024-06-07T17:09:50.109GMT,3616,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1676,238101000,1784,286472000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0.0
4,4,0,4,2024-06-07T17:09:50.098GMT,3628,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1675,239344000,1785,280178000,1836,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0.0
