taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-09T16:42:34.620GMT,3715,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1816,232001000,1580,138084000,1836,69,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0.0
5,5,0,5,2024-06-09T16:42:34.650GMT,3685,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1820,226615000,1575,139329000,1836,69,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0.0
1,1,0,1,2024-06-09T16:42:34.638GMT,3673,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1817,223038000,1581,110143000,1836,69,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0.0
6,6,0,6,2024-06-09T16:42:34.651GMT,3660,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1817,252487000,1578,164232000,1836,69,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0.0
9,9,0,9,2024-06-09T16:42:34.653GMT,3683,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1816,234844000,1581,208749000,1836,69,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0.0
2,2,0,2,2024-06-09T16:42:34.645GMT,3666,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1823,219862000,1573,143421000,1836,69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0.0
7,7,0,7,2024-06-09T16:42:34.653GMT,3681,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1814,223988000,1582,147333000,1836,69,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0.0
3,3,0,3,2024-06-09T16:42:34.646GMT,3690,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1819,238918000,1575,117196000,1836,69,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0.0
8,8,0,8,2024-06-09T16:42:34.653GMT,3682,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1818,228255000,1577,129319000,1836,69,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0.0
4,4,0,4,2024-06-09T16:42:34.649GMT,3659,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1817,227090000,1579,129222000,1836,69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0.0
81,0,0,0,2024-06-09T16:42:42.238GMT,41,driver,192.168.0.30,SUCCESS,NODE_LOCAL,False,[],9,8435000,19,17803000,3995,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1180,20,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15.0
69,8,0,8,2024-06-09T16:42:41.960GMT,99,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],34,4618000,50,14529000,4898,0,1,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5927583,1,14,0,11.0
78,17,0,17,2024-06-09T16:42:42.061GMT,56,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,1619000,25,3364000,4898,0,6,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,552583,1,22,0,11.0
61,0,0,0,2024-06-09T16:42:41.957GMT,104,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],33,4279000,51,14645000,4898,0,1,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4148875,1,19,0,11.0
74,13,0,13,2024-06-09T16:42:42.060GMT,46,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],5,1338000,21,3717000,4898,0,4,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3437830,1,16,0,11.0
70,9,0,9,2024-06-09T16:42:41.960GMT,101,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],45,6039000,42,14000000,4855,0,0,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3491749,1,14,0,11.0
65,4,0,4,2024-06-09T16:42:41.959GMT,106,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],33,4773000,51,14047000,4898,0,1,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5783710,1,21,0,11.0
77,16,0,16,2024-06-09T16:42:42.061GMT,54,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,1479000,25,3685000,4898,0,1,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3102124,1,25,0,11.0
73,12,0,12,2024-06-09T16:42:42.058GMT,50,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,1558000,23,3823000,4898,0,5,0,0,0,40224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3254627,1,19,0,11.0
64,3,0,3,2024-06-09T16:42:41.958GMT,106,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],45,6434000,42,6912000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8011584,1,19,0,11.0
71,10,0,10,2024-06-09T16:42:42.055GMT,53,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],5,1435000,29,3843000,4898,0,4,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,710040,1,15,0,11.0
