taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
163,0,0,0,2024-06-09T17:13:36.383GMT,29,driver,192.168.0.30,SUCCESS,NODE_LOCAL,False,[],3,3300000,19,16129000,3995,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1180,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,31.0
153,10,0,10,2024-06-09T17:13:36.221GMT,65,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],17,2759000,15,3256000,4898,0,1,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1793290,1,32,0,27.0
157,14,0,14,2024-06-09T17:13:36.235GMT,57,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],16,1853000,16,2450000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1183376,1,25,0,27.0
152,9,0,9,2024-06-09T17:13:36.145GMT,97,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],22,2675000,41,5623000,4855,0,0,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12151291,1,34,0,27.0
147,4,0,4,2024-06-09T17:13:36.144GMT,92,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],11,1890000,51,7095000,4898,0,2,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9142791,1,28,0,27.0
160,17,0,17,2024-06-09T17:13:36.239GMT,32,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],4,1931000,14,2960000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3406335,1,14,0,27.0
156,13,0,13,2024-06-09T17:13:36.235GMT,51,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],9,2169000,19,3698000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1733791,1,23,0,27.0
148,5,0,5,2024-06-09T17:13:36.145GMT,91,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],24,3752000,45,5147000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9229875,1,22,0,27.0
161,18,0,18,2024-06-09T17:13:36.242GMT,43,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],9,1326000,11,2691000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1719208,1,23,0,27.0
149,6,0,6,2024-06-09T17:13:36.145GMT,97,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],24,3201000,40,5621000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11153836,1,33,0,27.0
144,1,0,1,2024-06-09T17:13:36.143GMT,93,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],22,2151000,43,7996000,4855,0,0,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10669456,1,28,0,27.0
159,16,0,16,2024-06-09T17:13:36.236GMT,50,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],10,2298000,11,3421000,4855,0,0,0,0,0,40240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1812332,1,29,0,27.0
155,12,0,12,2024-06-09T17:13:36.233GMT,38,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],9,2278000,14,4104000,4855,0,0,0,0,0,40224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,316206,1,15,0,27.0
162,19,0,19,2024-06-09T17:13:36.242GMT,29,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,1079000,18,4052000,4855,0,0,0,0,0,40448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1320376,1,9,0,27.0
145,2,0,2,2024-06-09T17:13:36.143GMT,89,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],23,3278000,40,4933000,4855,0,0,0,0,0,40224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12117375,1,26,0,27.0
