taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-07T17:14:20.937GMT,3749,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1818,338016000,1655,284898000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0.0
5,5,0,5,2024-06-07T17:14:20.973GMT,3713,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1816,362166000,1657,260449000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0.0
1,1,0,1,2024-06-07T17:14:20.958GMT,3729,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1815,328042000,1657,262306000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0.0
6,6,0,6,2024-06-07T17:14:20.977GMT,3710,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1816,322467000,1657,315521000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0.0
9,9,0,9,2024-06-07T17:14:20.989GMT,3701,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1813,327338000,1659,250970000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0.0
2,2,0,2,2024-06-07T17:14:20.965GMT,3681,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1815,327169000,1659,248461000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0.0
7,7,0,7,2024-06-07T17:14:20.979GMT,3711,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1818,320612000,1654,245909000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0.0
3,3,0,3,2024-06-07T17:14:20.967GMT,3675,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1816,344174000,1657,284817000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0.0
8,8,0,8,2024-06-07T17:14:20.981GMT,3674,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1818,337138000,1655,252488000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0.0
4,4,0,4,2024-06-07T17:14:20.970GMT,3679,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1817,333143000,1655,234853000,1836,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0.0
