taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-07T20:56:06.050GMT,3905,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1733,229691000,1901,279921000,1836,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0.0
5,5,0,5,2024-06-07T20:56:06.115GMT,3866,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1731,205923000,1901,293132000,1836,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0.0
1,1,0,1,2024-06-07T20:56:06.101GMT,3854,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,213012000,1903,294227000,1836,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0.0
6,6,0,6,2024-06-07T20:56:06.117GMT,3826,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,203717000,1902,368928000,1836,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0.0
9,9,0,9,2024-06-07T20:56:06.126GMT,3812,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1734,220894000,1900,290167000,1836,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0.0
2,2,0,2,2024-06-07T20:56:06.110GMT,3852,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,216282000,1904,275812000,1836,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0.0
7,7,0,7,2024-06-07T20:56:06.123GMT,3858,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1733,233565000,1901,284218000,1836,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0.0
3,3,0,3,2024-06-07T20:56:06.111GMT,3870,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,220675000,1904,290758000,1836,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0.0
8,8,0,8,2024-06-07T20:56:06.124GMT,3856,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1733,244683000,1900,284122000,1836,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0.0
4,4,0,4,2024-06-07T20:56:06.112GMT,3843,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1730,205238000,1904,293558000,1836,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0.0
