taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-14T13:56:03.391GMT,4546,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1792,262604000,2580,616119000,1836,247,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0.0
5,5,0,5,2024-06-14T13:56:03.447GMT,4490,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1793,263999000,2387,591214000,1836,247,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0.0
1,1,0,1,2024-06-14T13:56:03.422GMT,4514,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1796,271816000,2384,655962000,1836,247,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0.0
6,6,0,6,2024-06-14T13:56:03.455GMT,4482,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1792,273087000,2388,620065000,1836,247,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0.0
9,9,0,9,2024-06-14T13:56:03.490GMT,4411,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1795,259974000,2386,588554000,1836,247,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0.0
2,2,0,2,2024-06-14T13:56:03.430GMT,4471,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1792,268836000,2388,564623000,1836,247,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0.0
7,7,0,7,2024-06-14T13:56:03.460GMT,4476,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1792,290332000,2387,585618000,1836,247,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0.0
3,3,0,3,2024-06-14T13:56:03.439GMT,4460,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1794,277547000,2395,578930000,1836,247,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0.0
8,8,0,8,2024-06-14T13:56:03.483GMT,4418,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1793,266548000,2387,546312000,1836,247,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0.0
4,4,0,4,2024-06-14T13:56:03.444GMT,4492,driver,192.168.0.28,SUCCESS,PROCESS_LOCAL,False,[],1794,257601000,2385,579555000,1836,247,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0.0
