taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
0,0,0,0,2024-06-07T21:00:00.454GMT,3847,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1767,247497000,1827,252748000,1836,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0.0
5,5,0,5,2024-06-07T21:00:00.486GMT,3848,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1767,270840000,1827,285159000,1836,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0.0
1,1,0,1,2024-06-07T21:00:00.474GMT,3862,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1766,268568000,1828,229942000,1836,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0.0
6,6,0,6,2024-06-07T21:00:00.487GMT,3825,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1768,257538000,1825,245343000,1836,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0.0
9,9,0,9,2024-06-07T21:00:00.498GMT,3838,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1767,248100000,1827,263341000,1836,72,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0.0
2,2,0,2,2024-06-07T21:00:00.480GMT,3854,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1769,254720000,1824,262529000,1836,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0.0
7,7,0,7,2024-06-07T21:00:00.490GMT,3844,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1768,249953000,1825,265150000,1836,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0.0
3,3,0,3,2024-06-07T21:00:00.480GMT,3836,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1768,251682000,1826,262274000,1836,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0.0
8,8,0,8,2024-06-07T21:00:00.492GMT,3842,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1768,254126000,1826,257529000,1836,72,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0.0
4,4,0,4,2024-06-07T21:00:00.485GMT,3823,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1766,257094000,1827,289773000,1836,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0.0
645,604,0,604,2024-06-07T21:00:11.532GMT,43,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,1262000,19,1579000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5593,999,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8.0
892,851,0,851,2024-06-07T21:00:12.124GMT,9,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1086000,3,1901000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5901,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8.0
69,28,0,28,2024-06-07T21:00:09.433GMT,71,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],19,4860000,43,7591000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5943,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8.0
1322,1281,0,1281,2024-06-07T21:00:13.097GMT,35,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,1212000,10,1603000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5926,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8.0
1665,1624,0,1624,2024-06-07T21:00:13.702GMT,25,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1071000,8,2340000,4834,0,4,0,0,0,0,0,0,0,0,10,0,0,0,5932,999,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8.0
1036,995,0,995,2024-06-07T21:00:12.287GMT,18,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,778000,10,2559000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5990,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8.0
1586,1545,0,1545,2024-06-07T21:00:13.540GMT,69,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],7,1367000,38,4753000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5597,999,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8.0
1501,1460,0,1460,2024-06-07T21:00:13.437GMT,18,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,937000,11,1561000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5928,999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8.0
809,768,0,768,2024-06-07T21:00:11.992GMT,20,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1001000,6,1765000,4834,0,2,0,0,0,0,0,0,0,0,10,0,0,0,5942,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8.0
1879,1838,0,1838,2024-06-07T21:00:13.929GMT,16,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,768000,4,1512000,4791,0,2,0,0,0,0,0,0,0,0,10,0,0,0,5952,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
1337,1296,0,1296,2024-06-07T21:00:13.112GMT,32,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,988000,4,1824000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5925,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8.0
1718,1677,0,1677,2024-06-07T21:00:13.784GMT,10,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,948000,3,2133000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5954,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
1411,1370,0,1370,2024-06-07T21:00:13.285GMT,33,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,1191000,9,2727000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5887,999,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8.0
629,588,0,588,2024-06-07T21:00:11.501GMT,24,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],10,2121000,10,3331000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5946,999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
1024,983,0,983,2024-06-07T21:00:12.242GMT,46,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,768000,34,5607000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5916,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8.0
1469,1428,0,1428,2024-06-07T21:00:13.390GMT,5,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,903000,2,1612000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5915,998,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.0
365,324,0,324,2024-06-07T21:00:10.626GMT,44,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,964000,35,5911000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5594,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8.0
1369,1328,0,1328,2024-06-07T21:00:13.205GMT,14,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,751000,6,2257000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5904,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8.0
138,97,0,97,2024-06-07T21:00:09.877GMT,63,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,1552000,53,5906000,4834,0,1,0,0,0,0,0,0,0,0,10,0,0,0,5612,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8.0
1823,1782,0,1782,2024-06-07T21:00:13.864GMT,21,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,909000,1,1355000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5935,998,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,8.0
1190,1149,0,1149,2024-06-07T21:00:12.846GMT,14,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,849000,10,1571000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5969,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
1168,1127,0,1127,2024-06-07T21:00:12.629GMT,114,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,993000,61,6995000,4834,0,14,0,0,0,0,0,0,0,0,10,0,0,0,5607,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,8.0
